paper_id,title,publication_year,abstract_available,scope_ml_sound_separation,heart_lung_or_cardiopulmonary_focus,public_dataset_mentioned,python_or_reproducible_method_mentioned,disease_detection_only,include_title_abstract,exclusion_reason_id,screened_by,screened_date,notes,utility_level,download_priority,useful_for,reason_for_decision,year_eligibility,previous_title_abstract_decision_before_year_rule
P061,Application of Adaptive Line Enhancer with LMS to Separate Heart Sound Signal from Lung Sound Signal at Real Time,2015,Yes,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Direct real-time LMS adaptive-line-enhancer heart/lung separation; useful baseline. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,preprocessing; model/method; evaluation metrics; software/prototype relevance,Direct real-time LMS adaptive-line-enhancer heart/lung separation; useful baseline.,Excluded: before 2022,Yes
P062,On the blind recovery of cardiac and respiratory sounds.,2015,Yes,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 1; Directly useful; Strong direct blind recovery of cardiac and respiratory sounds using NMF with clinical data; download first. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,1,related work; model/method; evaluation metrics; dataset; research gap,Strong direct blind recovery of cardiac and respiratory sounds using NMF with clinical data; download first.,Excluded: before 2022,Yes
P063,Separation of Real Time Heart Sound Signal from Lung Sound Signal Using Neural Network,2015,No,Yes,Yes,Unclear,Partial/Unclear,No,No,E15,Codex year range update,2026-05-10,Priority 2; Directly useful; Direct neural-network real-time heart/lung separation title; useful backup because metadata is sparse. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Directly useful,2,model/method; software/prototype relevance,Direct neural-network real-time heart/lung separation title; useful backup because metadata is sparse.,Excluded: before 2022,Yes
P064,Source Separation of Heartbeat Sounds for Effective E-Auscultation,2015,No,Partial,Yes,Unclear,No,No,No,E15,Codex year range update,2026-05-10,Priority 3; Indirectly useful; Heartbeat source separation for e-auscultation is related but not clearly lung/respiratory separation in metadata; low priority. Year rule applied on 2026-05-10: Outside publication year range: before 2022. Previous title/abstract decision: Yes.,Indirectly useful,3,model/method; background,Heartbeat source separation for e-auscultation is related but not clearly lung/respiratory separation in metadata; low priority.,Excluded: before 2022,Yes
P065,A Dual Classifier-Regressor Architecture for Heart Sound Onset/Offset Detection.,2026,Yes,No,Yes,Yes,Partial/Unclear,Partial,Yes,,Codex Phase 4 metadata verification,2026-05-10,"Priority 3; Indirectly useful; Heart sound onset/offset detection and PhysioNet/CinC dataset use may inform segmentation/preprocessing, but it is not separation. Year eligibility: within 2022-2026 review range.",Indirectly useful,3,preprocessing; dataset; feature extraction,"Heart sound onset/offset detection and PhysioNet/CinC dataset use may inform segmentation/preprocessing, but it is not separation.",Eligible: 2022-2026,
P066,BUET multi-disease heart sound dataset: A comprehensive auscultation dataset for developing computer-aided diagnostic systems,2026,Yes,No,Yes,Yes,Partial/Unclear,Partial,Yes,,Codex Phase 4 metadata verification,2026-05-10,"Priority 3; Indirectly useful; Heart sound dataset paper may help dataset discussion, but it is disease/classification oriented and not heart-lung separation. Year eligibility: within 2022-2026 review range.",Indirectly useful,3,dataset; background; feature extraction,"Heart sound dataset paper may help dataset discussion, but it is disease/classification oriented and not heart-lung separation.",Eligible: 2022-2026,
P067,Comparative Evaluation of Sound Transmission and Functional Performance of a New Stethoscope Design versus Traditional Models,2026,Yes,No,Yes,Unclear,Partial/Unclear,No,Yes,,Codex manual access update,2026-05-11,"Priority 3; Weak; Stethoscope transmission evaluation may inform recording-device discussion, but it is hardware-focused and not ML separation. Year eligibility: within 2022-2026 review range. Passed title/abstract relevance but excluded at full-text access stage: Full text unavailable through university access - ASTM Digital Library.",Weak,3,background; software/prototype relevance,"Stethoscope transmission evaluation may inform recording-device discussion, but it is hardware-focused and not ML separation.",Eligible: 2022-2026,
P068,Coronary artery disease diagnosis with signal processing and machine learning of heart sound signals: a systematic review.,2026,Yes,No,Yes,Yes,Partial/Unclear,Yes,No,E03,Codex Phase 4 metadata verification,2026-05-10,Priority 3; Weak; Coronary artery disease diagnosis systematic review is disease-detection focused and outside the separation objective. Year eligibility: within 2022-2026 review range.,Weak,3,background,Coronary artery disease diagnosis systematic review is disease-detection focused and outside the separation objective.,Eligible: 2022-2026,
P069,Instant Preliminary Cardiac Analysis from Smartphone Auscultation: A Real-World Canine Heart Sound Dataset and Evaluation,2026,Yes,Partial,Yes,Yes,Partial/Unclear,Partial,No,E10,Codex Phase 4 metadata verification,2026-05-10,Priority 3; Weak; Canine smartphone heart-sound dataset is non-human and diagnosis/evaluation focused; not useful for this FYP scope. Year eligibility: within 2022-2026 review range.,Weak,3,dataset; background,Canine smartphone heart-sound dataset is non-human and diagnosis/evaluation focused; not useful for this FYP scope.,Eligible: 2022-2026,
P070,Phonocardiogram Signal Processing with Heart Sound Classification Using Transfer Learning,2026,Yes,Partial,Yes,Yes,Partial/Unclear,Partial,Yes,,Codex Phase 4 metadata verification,2026-05-10,"Priority 3; Indirectly useful; PCG classification paper may inform Mel-spectrogram/transfer-learning preprocessing, but it is diagnosis/classification only. Year eligibility: within 2022-2026 review range.",Indirectly useful,3,preprocessing; feature extraction; dataset,"PCG classification paper may inform Mel-spectrogram/transfer-learning preprocessing, but it is diagnosis/classification only.",Eligible: 2022-2026,
